FILE	EXPECTED	CODE
case-insensitive.model	VALID	-
composite-primary-key.model	VALID	-
valid-reverse-expansion.model	VALID	-
valid-forward-dimension-property.model	VALID	-
valid-one-to-one-reverse.model	VALID	-
valid-ordered-min-max.model	VALID	-
proof-safe-revenue.model	VALID	-
proof-unsafe-branch-fanout.model	INVALID	AGGREGATE_FANOUT
proof-boundary-min-dimension.model	INVALID	AGGREGATE_FANOUT
invalid-missing-group-by.model	INVALID	SCHEMA_CARDINALITY
invalid-ungrouped-input.model	INVALID	UNGROUPED_INPUT
invalid-unsafe-join.model	INVALID	SPEC_VALUE_OUTSIDE_DOMAIN
invalid-case-duplicate.model	INVALID	DUPLICATE_SPEC_COLUMN
invalid-where-type.model	INVALID	WHERE_NOT_BOOLEAN
invalid-group-by-column.model	INVALID	GROUP_BY_REQUIRES_PRIMARY_KEY
invalid-dimension-aggregate-fanout.model	INVALID	AGGREGATE_FANOUT
invalid-branch-fanout.model	INVALID	AGGREGATE_FANOUT
invalid-disconnected-join.model	INVALID	DISCONNECTED_JOIN
invalid-duplicate-key-part.model	INVALID	NONCONTIGUOUS_PARTS
invalid-noncontiguous-fk.model	INVALID	NONCONTIGUOUS_PARTS
invalid-fk-type.model	INVALID	FOREIGN_KEY_TYPE_MISMATCH
invalid-missing-primary-key.model	INVALID	MISSING_PRIMARY_KEY
invalid-spec-path-traversal.model	INVALID	SPEC_NOT_FOUND
invalid-cross-group-order.model	INVALID	INVALID_ORDER_BY
invalid-cross-group-having.model	INVALID	PROPERTY_GRAIN_MISMATCH
invalid-one-to-one-source.model	INVALID	ONE_TO_ONE_SOURCE_NOT_UNIQUE
invalid-incomplete-fk.model	INVALID	SPEC_FIELD_PRESENCE
invalid-language-version.model	INVALID	UNSUPPORTED_LANGUAGE_VERSION
invalid-min-boolean.model	INVALID	OPERATION_INPUT_TYPE
invalid-max-boolean.model	INVALID	OPERATION_INPUT_TYPE
