ORDINAL	FIELD	REQUIRED_WHEN	DOMAIN
1	SPEC_ID	ALWAYS	@IDENTIFIER
2	TABLE_NAME	ALWAYS	@IDENTIFIER
3	COLUMN_NAME	ALWAYS	@IDENTIFIER
4	VALUE_TYPE	ALWAYS	IDENTIFIER|STRING|NUMBER|BOOLEAN|DATE
5	NULLABLE	ALWAYS	TRUE|FALSE
6	PRIMARY_KEY_NAME	OPTIONAL	@IDENTIFIER
7	PRIMARY_KEY_PART	PRIMARY_KEY_NAME	@POSITIVE_INTEGER
8	FOREIGN_KEY_NAME	OPTIONAL	@IDENTIFIER
9	FOREIGN_KEY_PART	FOREIGN_KEY_NAME	@POSITIVE_INTEGER
10	REFERENCES_TABLE	FOREIGN_KEY_NAME	@IDENTIFIER
11	REFERENCES_COLUMN	FOREIGN_KEY_NAME	@IDENTIFIER
12	CARDINALITY	FOREIGN_KEY_NAME	ONE_TO_ONE|MANY_TO_ONE
